9216 12 12 0.0 0.0 26.25 0.0025187 0.0415536 1.7195932 -0.0018306 0.0001239 0.0009553 0.0001796 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 12 12 0.0 0.0 26.28 0.002546 0.0408068 1.6072202 -0.0053929 0.0001712 0.001207 0.0003194 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 12 12 0.0 0.0 26.22 0.0023657 0.0431495 1.5637614 -0.0025638 0.0001716 0.0010775 0.0003265 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 12 12 0.0 0.0 26.18 0.0026049 0.0462302 1.7565615 -0.0024917 0.0001787 0.001103 0.0002574 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 12 12 0.0 0.0 26.07 0.0027977 0.0406737 1.6571462 -0.0035165 0.0001434 0.0011099 0.0002171 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 12 12 0.0 0.0 26.09 0.0023746 0.0392441 1.6623863 -0.0084269 0.0001906 0.0014654 0.0003373 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9984 12 12 0.0 0.0 26.1 0.0024639 0.037301 1.8479013 -0.0043911 0.0001717 0.0012134 0.0003729 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10112 12 12 0.0 0.0 26.13 0.0021405 0.036063 1.904211 -0.0024056 0.0001742 0.0010963 0.0002791 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10240 13 13 0.0 0.0 26.06 0.0020644 0.04066 1.9884164 -0.0006693 0.0001432 0.0009697 0.0002356 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10368 13 13 0.0 0.0 26.01 0.0022799 0.0376407 1.8568132 0.0002714 0.0001609 0.0009026 0.0002317 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10496 13 13 0.0 0.0 26.03 0.0019875 0.0389538 1.8012061 -0.0032289 0.0001553 0.0010917 0.00026 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10624 13 13 0.0 0.0 26.02 0.0020487 0.0391564 1.7686368 -0.0007446 0.000151 0.0009365 0.000217 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10752 13 13 0.0 0.0 26.04 0.0020233 0.0378801 1.8549489 -0.0016363 0.0001321 0.000954 0.0002468 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10880 13 13 0.0 0.0 26.13 0.0021058 0.0388853 2.05963 -0.0008957 0.0001427 0.0009094 0.0002146 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
