6528 7 7 0.0 0.0 23.53 0.0023119 0.3568946 52.2452331 0.5969893 0.1636807  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 7 7 0.0 0.0 23.6 0.002339 0.6712569 58.4530166 0.5948421 0.1610979  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 8 8 0.0 0.0 23.68 0.0022219 0.180026 50.5115493 0.5769681 0.1579826  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 8 8 0.0 0.0 23.74 0.0021873 0.0570178 47.4989118 0.5708205 0.1586041  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 8 8 0.0 0.0 23.74 0.0021453 -0.1696455 35.4175241 0.5567528 0.1541506  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 8 8 0.0 0.0 23.78 0.0021235 -0.0332878 38.2770891 0.5460609 0.1517088  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 8 8 0.0 0.0 23.82 0.0020749 -0.1896648 35.5878087 0.5338508 0.1468048  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 8 8 0.0 0.0 23.81 0.0021263 -0.2111108 37.0552904 0.5340252 0.1454403  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 8 8 0.0 0.0 23.82 0.0023363 -0.2784037 34.7703401 0.5260635 0.1446727  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 8 8 0.0 0.0 23.85 0.002002 0.1162411 39.0174024 0.5117102 0.1395524  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
