6912 7 7 0.0 0.0 23.16 0.0096722 -0.6752159 99.6111263 0.9908505 0.0515848  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 7 7 0.0 0.0 23.23 0.0095613 -0.3347081 115.4696265 0.992241 0.0465815  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 7 7 0.0 0.0 23.29 0.0099189 -0.8570902 102.0810362 0.9937151 0.0433487  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 7 7 0.0 0.0 23.31 0.0099841 -0.535637 110.6201563 0.9938853 0.0424548  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 7 7 0.0 0.0 23.31 0.0098475 -0.6244409 105.6913974 0.99449 0.0381482  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 8 8 0.0 0.0 23.29 0.0093194 -0.2655456 118.3883164 0.9900924 0.0546716  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 8 8 0.0 0.0 23.25 0.0092536 -0.1445136 118.3680196 0.9905614 0.0550032  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 8 8 0.0 0.0 23.24 0.0085828 1.5187504 176.9657671 0.9834023 0.0707709  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 8 8 0.0 0.0 23.23 0.0085539 0.1069904 125.1071993 0.9843128 0.074828  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 8 8 0.0 0.0 23.22 0.0087957 -0.681504 105.2790368 0.9894069 0.0548662  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 8 8 0.0 0.0 23.2 0.0090691 -0.9227902 98.2267133 0.9901709 0.0522233  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 8 8 0.0 0.0 23.15 0.0086619 -0.4819045 107.2155863 0.9889089 0.0574707  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 8 8 0.0 0.0 23.12 0.0083058 -0.0401391 118.4505482 0.9800777 0.0815022  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 9 9 0.0 0.0 23.08 0.008128 -0.1396479 128.2579414 0.9808229 0.0799963  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8704 9 9 0.0 0.0 23.03 0.0079652 -0.4808658 109.8360673 0.9847298 0.0701536  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 9 9 0.0 0.0 22.99 0.0075321 0.3026343 145.4413762 0.9775061 0.0877791  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 9 9 0.0 0.0 22.92 0.0076205 -0.4369909 120.4663862 0.9774448 0.0914604  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 9 9 0.0 0.0 22.89 0.0077591 -1.4789486 93.3196058 0.9873022 0.0637143  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9216 9 9 0.0 0.0 22.89 0.0080574 -1.2337186 97.3140571 0.9858385 0.0699607  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 9 9 0.0 0.0 22.88 0.0080317 -1.0472078 104.9137777 0.9832854 0.0746452  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 9 9 0.0 0.0 22.85 0.0083166 -0.6772817 119.03705 0.9795814 0.0845974  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 10 10 0.0 0.0 22.81 0.0080872 -0.4433969 127.6362805 0.9839984 0.073568  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 10 10 0.0 0.0 22.76 0.0079249 -0.851638 109.7878984 0.977517 0.0898333  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 10 10 0.0 0.0 22.76 0.0075405 -0.185747 140.4681096 0.9795027 0.0812305  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
9984 10 10 0.0 0.0 22.76 0.0074625 -1.0467909 109.7242116 0.9753199 0.092234  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10112 10 10 0.0 0.0 22.73 0.0073919 -1.9016494 86.0932332 0.9842715 0.0705541  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10240 10 10 0.0 0.0 22.72 0.0074628 -2.0681972 83.9102668 0.9840629 0.0730962  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10368 10 10 0.0 0.0 22.75 0.0073931 -1.8275119 100.0274135 0.9824038 0.0768089  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10496 11 11 0.0 0.0 22.81 0.0072714 -1.2510585 113.6544276 0.9785265 0.0896258  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10624 11 11 0.0 0.0 22.84 0.0071929 -1.470569 106.6018708 0.982301 0.0788196  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10752 11 11 0.0 0.0 22.86 0.0072311 -0.1551747 142.2875871 0.9699465 0.1026385  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
10880 11 11 0.0 0.0 22.9 0.0065883 -2.2717523 80.8654783 0.9735071 0.0937597  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
11008 11 11 0.0 0.0 22.95 0.0068253 -1.5597517 104.4917724 0.9765329 0.0925485  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
11136 11 11 0.0 0.0 23.01 0.0070729 -1.7944512 90.239115 0.9797721 0.083538  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
11264 11 11 0.0 0.0 23.07 0.0071218 -1.4534384 95.1380875 0.9785753 0.0840591  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
11392 11 11 0.0 0.0 23.12 0.0067113 -1.5145742 102.3560698 0.9722861 0.1003571  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
