6400 10 10 0.0 0.0 26.02 0.0033897 0.0426005 1.5942431 0.0070399 0.0054556 0.0059647 0.0016467 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 10 10 0.0 0.0 26.02 0.0032059 0.039654 1.5559183 -0.0050023 0.004722 0.0065581 0.0012083 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 11 11 0.0 0.0 26.05 0.0029276 0.0420055 1.5624744 0.0057336 0.0056226 0.0059617 0.0024905 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 11 11 0.0 0.0 26.04 0.0028247 0.0395576 1.5043508 0.0061694 0.0060606 0.00631 0.0013195 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 11 11 0.0 0.0 26.03 0.0027582 0.0406853 1.7396414 0.014902 0.0063104 0.005539 0.0014115 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 11 11 0.0 0.0 26.11 0.0030851 0.0413479 1.8782537 0.0047099 0.0041551 0.0054641 0.001088 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 11 11 0.0 0.0 26.18 0.0028527 0.0401566 1.9283627 -0.0057774 0.0044169 0.006073 0.0013903 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 11 11 0.0 0.0 26.22 0.0032073 0.0411411 2.0678585 0.0074578 0.0044067 0.0052381 0.0012828 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 11 11 0.0 0.0 26.25 0.0029791 0.0403565 1.9135033 0.001582 0.0037615 0.0053538 0.0011838 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 11 11 0.0 0.0 26.22 0.0027233 0.0385989 2.037473 -0.0012607 0.0039489 0.0053289 0.0012524 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 12 12 0.0 0.0 26.17 0.002881 0.0393776 2.2172492 0.0001583 0.0035606 0.0051516 0.0010968 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 12 12 0.0 0.0 26.09 0.0022746 0.0395822 1.8517953 0.0003599 0.0044801 0.005397 0.0013968 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 12 12 0.0 0.0 26.09 0.0023805 0.0373699 2.0525467 0.0104373 0.0041229 0.0045567 0.0010479 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 12 12 0.0 0.0 26.12 0.0023008 0.0382752 2.0398779 0.0066336 0.0030257 0.0044525 0.001075 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 12 12 0.0 0.0 26.11 0.003306 0.0437514 1.9042428 0.0062678 0.0028667 0.00442 0.0008668 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 12 12 0.0 0.0 26.01 0.002338 0.0385892 2.0196231 -0.0106663 0.0032982 0.0054806 0.0011097 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 12 12 0.0 0.0 26.07 0.0026174 0.0414133 2.0630615 -0.0042443 0.0027407 0.0049245 0.0009438 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 12 12 0.0 0.0 25.99 0.0027677 0.0390343 2.3507587 -0.0177085 0.003013 0.0058088 0.0012827 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8704 13 13 0.0 0.0 25.96 0.0023944 0.0369142 2.4572047 -0.0060296 0.0030785 0.0052179 0.001166 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 13 13 0.0 0.0 25.92 0.0024855 0.0373273 2.420641 -0.0118644 0.0036866 0.0057317 0.0008806 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 13 13 0.0 0.0 25.87 0.0022943 0.0412786 2.0578074 0.0112896 0.0033115 0.0040417 0.0008733 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 13 13 0.0 0.0 25.92 0.0021557 0.0404599 2.0816372 -0.0292924 0.0029311 0.0063762 0.0013459 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
