9984 10 10 0.0 0.0 118.53 0.0044985 0.0127302 5.6680259 0.0157925 0.0067565 0.0037701 0.0072329 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10112 10 10 0.0 0.0 118.52 0.0038501 0.013143 5.5783436 0.0074671 0.0097066 0.0040601 0.0062972 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10240 10 10 0.0 0.0 118.86 0.0046346 0.0121416 5.7163377 -0.0102927 0.0067091 0.0049762 0.0127248 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10368 10 10 0.0 0.0 118.84 0.0036984 0.0122186 6.0661412 -0.011346 0.0069379 0.0050601 0.0150721 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10496 10 10 0.0 0.0 119.22 0.0042079 0.0119407 6.1887603 0.0001103 0.0068094 0.0039162 0.0074138 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10624 10 10 0.0 0.0 119.28 0.0035514 0.0117211 6.3378831 -0.0038924 0.0304696 0.0042366 0.003842 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10752 10 10 0.0 0.0 119.38 0.0029622 0.0132225 6.2629244 0.0064209 0.003648 0.0031045 0.0021963 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
10880 11 11 0.0 0.0 119.46 0.0028542 0.0123092 6.5348089 0.0006963 0.0014744 0.0032606 0.0020423 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
11008 11 11 0.0 0.0 119.99 0.0031341 0.0124049 6.9581172 0.000953 0.0012151 0.0031127 0.0022426 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
11136 11 11 0.0 0.0 120.32 0.0032168 0.0118734 6.5752368 -0.0010196 0.0012837 0.0032369 0.0020349 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
