9216 34 34 0.0 0.0 23.64 0.0010106 0.3375358 10.978748 0.246625 0.1974281  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 34 34 0.0 0.0 23.64 0.0010373 0.1027867 9.9890331 0.251793 0.2084406  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 34 34 0.0 0.0 23.62 0.0010323 0.3563659 12.2651463 0.2451859 0.2053118  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 35 35 0.0 0.0 23.57 0.001116 0.1870576 11.9874506 0.2562418 0.2188117  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 36 36 0.0 0.0 23.53 0.0010377 0.1769663 12.2892402 0.2474677 0.2022748  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 36 36 0.0 0.0 23.51 0.000997 -0.1183214 8.7746655 0.2437979 0.1979134  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9984 36 36 0.0 0.0 23.46 0.001124 -0.0552898 10.4523014 0.2541517 0.2157031  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10112 37 37 0.0 0.0 23.4 0.0010882 -0.0778122 9.9634355 0.2556105 0.2109192  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10240 37 37 0.0 0.0 23.37 0.0010624 -0.0653485 9.4478777 0.2500474 0.2109787  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10368 37 37 0.0 0.0 23.36 0.0009623 0.0583923 7.2207928 0.2314825 0.1971161  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10496 37 37 0.0 0.0 23.32 0.0010628 0.2433961 12.2247878 0.2484663 0.2123772  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10624 37 37 0.0 0.0 23.25 0.0010472 0.2758133 12.5290803 0.2465486 0.2082105  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10752 37 37 0.0 0.0 23.21 0.001009 0.3506923 11.9740492 0.2379125 0.204519  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
10880 37 37 0.0 0.0 23.19 0.001058 -0.0640872 9.6543693 0.249102 0.2164351  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11008 38 38 0.0 0.0 23.16 0.0010472 -0.0346932 8.9444825 0.2457307 0.2162775  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11136 38 38 0.0 0.0 23.09 0.0010452 -0.0089867 9.6016902 0.2375487 0.2061757  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11264 39 39 0.0 0.0 23.08 0.0010497 0.0569194 10.6415879 0.2536823 0.2251591  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11392 39 39 0.0 0.0 23.04 0.0010789 -0.1628375 9.4213671 0.2462619 0.2134626  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11520 39 39 0.0 0.0 23.03 0.0010011 -0.1487142 10.1186549 0.2522699 0.2079921  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11648 39 39 0.0 0.0 22.98 0.0010342 -0.3153668 8.4824678 0.2464439 0.2138085  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11776 39 39 0.0 0.0 22.94 0.0009813 -0.2769893 7.7242947 0.2429388 0.2043216  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
11904 39 39 0.0 0.0 22.92 0.0010973 -0.1731558 10.5345328 0.2517287 0.2170481  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12032 40 40 0.0 0.0 22.9 0.0010722 0.0953949 12.7415493 0.2531721 0.2109922  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12160 40 40 0.0 0.0 22.87 0.0009087 -0.1830121 7.2843304 0.2295406 0.18677  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12288 40 40 0.0 0.0 22.81 0.0008927 -0.0850394 6.8954401 0.2156134 0.1811682  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12416 40 40 0.0 0.0 22.75 0.000923 -0.1967595 7.126433 0.2256868 0.1914759  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12544 40 40 0.0 0.0 22.69 0.0009114 -0.1022415 8.3197397 0.2264368 0.1896989  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
12672 40 40 0.0 0.0 22.66 0.0009544 0.0973099 9.3859383 0.2278389 0.1976512  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
