7424 14 14 0.0 0.0 24.09 0.0021082 0.4777497 41.3611529 0.518733 0.2094614  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 14 14 0.0 0.0 24.13 0.0021532 0.4161862 46.0398082 0.5198826 0.215629  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 14 14 0.0 0.0 24.13 0.0021059 0.1130618 39.2959682 0.519257 0.2153728  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 15 15 0.0 0.0 24.14 0.0021017 -0.006113 43.2343969 0.5224093 0.2182265  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 15 15 0.0 0.0 24.17 0.0019943 0.1888638 38.678781 0.4936698 0.2040502  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 15 15 0.0 0.0 24.16 0.0019711 0.2465392 40.4151018 0.4872907 0.2037065  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 15 15 0.0 0.0 24.14 0.0020333 0.4018673 45.3003144 0.4968387 0.2187302  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 15 15 0.0 0.0 24.13 0.0020445 0.2105316 40.7175783 0.5069 0.207907  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 15 15 0.0 0.0 24.12 0.0019147 0.220173 36.7827655 0.4760439 0.1978494  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 15 15 0.0 0.0 24.11 0.0018621 0.2118114 36.8429912 0.4707008 0.2037965  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
